period,ratio
2022-12-26,80.64143
2023-01-02,84.85023
2023-01-09,89.48762
2023-01-16,87.59992
2023-01-23,82.5195
2023-01-30,86.12636
2023-02-06,89.06385
2023-02-13,88.04777
2023-02-20,85.69777
2023-02-27,90.14735
2023-03-06,93.63864
2023-03-13,91.78946
2023-03-20,95.93566
2023-03-27,95.02552
2023-04-03,100.0
2023-04-10,99.39323
2023-04-17,97.91486
2023-04-24,94.41394
2023-05-01,93.95165
2023-05-08,92.27583
2023-05-15,92.55032
2023-05-22,96.47019
2023-05-29,94.52951
